"Name","Line","Zones","NoteLength","Reasons","Preview"
"Yevgeny, I.M.","560","""Northern San d'Oria"", ""San d'Oria""","780","very long; instruction wording; wiki markup","Notes: ;Notes for characters only with Bastok as current Allegiance: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the Bastok Mission-Rank bar (the red bar..."
"Farso-Dafarso","2328","""Adoulin"", ""Western Adoulin""","775","very long; wiki markup","Notes: * For 10 bayld, he casts Quickening at +12% Movement Speed, or +25% if the Couriers' Coalition possesses the Signboard edification. It will overwrite Flee and Quickening obtained from other methods. Movement effec..."
"Ovjang","2182","""Al Zahbi"", ""Cutscene"", ""Imperial Ward""","775","very long","Starts Quests: * An Imperial Heist Involved in Quests: * Forging a New Myth * Coming Full Circle * The Rider Cometh * Unwavering Resolve * A Stygian Pact * Divine Interference Involved in Missions: * Aht Urhgan Mission 1..."
"Wolfgang","4601","""Jeuno"", ""Various cutscenes""","774","very long","Involved in Quests: * A Candlelight Vigil Involved in Missions: * Bastok Mission 3-3: Jeuno * San d'Oria Mission 4-1: Magicite * Bastok Mission 4-1: Magicite * Windurst Mission 4-1: Magicite * Promathia Mission 1-1: The ..."
"Zeid","3963","""Cut Scenes Only"", ""Cutscene""","770","very long","Involved in Quests: * Blade of Darkness * Blade of Death * Blade of Evil * Dark Puppet * Inheritance * Apocalypse Nigh Involved in Missions: * San d'Oria Mission 5-1: The Ruins of Fei'Yin * Bastok Mission 5-1: Darkness R..."
"Angry Bull","34","""Bastok Markets""","763","very long","Notes: Dialogue: I remember 20 years ago when I was in charge of protecting Galkan Bridge from the beastmen. For a large part of the Crystal War, we had her blocked off on both sides. The government said it was to keep e..."
"Cyril","2821","""Abyssea"", ""Chocobo Circuit""","749","very long; instruction wording; wiki markup","Notes: * Allows you to view your cruor balance. *Unlike most Abyssea teleporters, he is unable to relay the status of resistance in Scars of Abyssea areas. *Can teleport you to any Abyssean Cavernous Maw for 200 Cruor. *..."
"Vincent","1526","""Abyssea"", ""Ru'Lude Gardens""","749","very long; instruction wording; wiki markup","Notes: * Allows you to view your cruor balance. *Unlike most Abyssea teleporters, he is unable to relay the status of resistance in Scars of Abyssea areas. *Can teleport you to any Abyssean Cavernous Maw for 200 Cruor. *..."
"Willis","951","""Abyssea"", ""Port Windurst""","749","very long; instruction wording; wiki markup","Notes: * Allows you to view your cruor balance. *Unlike most Abyssea teleporters, he is unable to relay the status of resistance in Scars of Abyssea areas. *Can teleport you to any Abyssean Cavernous Maw for 200 Cruor. *..."
"Elivira","2536","""Bastok (S)"", ""Bastok Markets (S)"", ""Battle""","728","very long; instruction wording; wiki markup","Notes: :*Gold Musketeer Captain of the Department of Mining during the Crystal War. :*Shares her unique face-type with Mythril Musketeer Captain Klara. :* Can appear in all Campaign Battles for Bastok (S) as the leader o..."
"Raubahn","2192","""Al Zahbi"", ""Cutscene"", ""Varies""","728","very long","Involved in Quests: * An Empty Vessel * Beginnings * Omens * Transformations * The Beast Within * Soothing Waters * Embers of His Past * Forging a New Myth * Coming Full Circle * Divine Interference Involved in Missions:..."
"Yin Pocanakhu","1387","""Jeuno"", ""Lower Jeuno""","725","very long","Involved in Quests: * A Job for the Consortium * Borghertz's Harmonious Hands: (BRD AF Hands) * Borghertz's Wild Hands: (BST AF Hands) * Borghertz's Sorcerous Hands: (BLM AF Hands) * Borghertz's Shadowy Hands: (DRK AF Ha..."
"Alrauverat","1301","""Jeuno"", ""Lower Jeuno""","720","very long; instruction wording; wiki markup","Notes: ;Notes for all characters: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the Mission-Rank bar of the character's appropriate Nation (the red bar at ..."
"Emitt","1410","""Jeuno"", ""Upper Jeuno""","720","very long; instruction wording; wiki markup","Notes: ;Notes for all characters: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the Mission-Rank bar of the character's appropriate Nation (the red bar at ..."
"Kochahy-Muwachahy","1250","""Jeuno"", ""Port Jeuno""","720","very long; instruction wording; wiki markup","Notes: ;Notes for all characters: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the Mission-Rank bar of the character's appropriate Nation (the red bar at ..."
"Morlepiche","1504","""Jeuno"", ""Ru'Lude Gardens""","720","very long; instruction wording; wiki markup","Notes: ;Notes for all characters: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the Mission-Rank bar of the character's appropriate Nation (the red bar at ..."
"Sonia","2587","""Bastok (S)"", ""Bastok Markets (S)"", ""Battle""","719","very long; instruction wording; wiki markup","Notes: :* Uses Trance. :* Appears during Campaign Battles in Pashhow Marshlands (S) as the leader of the Field Musician Guard. :* Uses all Hand-to-Hand weaponskills including Asuran Fists. :* Very low delay attacks and v..."
"Aphmau","2105","""Al Zahbi"", ""Cutscene"", ""Imperial Ward""","717","very long","Involved in Quests: * Saga of the Skyserpent * Soothing Waters Starts Missions: * Aht Urhgan Mission 29: Puppet in Peril * Aht Urhgan Mission 35: Legacy of the Lost Involved in Missions: * Aht Urhgan Mission 11: Imperial..."
"1st Legion Aidman","3240","""Bastok (S)"", ""Battle"", ""Belfry""","711","very long","Notes: * Spawned by an Allied Belfry erected by the Republican Army of Bastok. Participates in offensive Campaign Battles. A maximum of 5 reinforcements will appear, and they will continually respawn unless the belfry is..."
"Ernst","311","""Abyssea"", ""Port Bastok""","710","very long; instruction wording; wiki markup","Notes: * Allows you to view your cruor balance. *Informs you the status of the resistance in Scars of Abyssea areas. *Can teleport you to any Abyssean Cavernous Maw for 200 Cruor. **He only gives you the option to telepo..."
"Ivan","607","""Abyssea"", ""Port San d'Oria""","710","very long; instruction wording; wiki markup","Notes: * Allows you to view your cruor balance. *Informs you the status of the resistance in Scars of Abyssea areas. *Can teleport you to any Abyssean Cavernous Maw for 200 Cruor. **He only gives you the option to telepo..."
"Kierron","2878","""Abyssea"", ""Heavens Tower - Near fountain""","710","very long; instruction wording; wiki markup","Notes: * Allows you to view your cruor balance. *Informs you the status of the resistance in Scars of Abyssea areas. *Can teleport you to any Abyssean Cavernous Maw for 200 Cruor. **He only gives you the option to telepo..."
"Scarlette, C.A.","2662","""Jeuno (S)"", ""Southern San d'Oria (S)""","696","very long; instruction wording","Notes: * Jeuno affliated Campaign Arbiter. *Offers Campaign Information, Campaign Allied Tags, Teleportation *Campaign Sword in front of name during Campaign *You are only allowed Teleportation to areas that you have phy..."
"Naji","253","""Metalworks""","695","very long","Involved in Quests: * Riding on the Clouds * The Doorman * Trust: Bastok * Adventurer Appreciation Campaign 2010 Involved in Missions: * Bastok Mission 1-1: The Zeruhn Report * Bastok Mission 2-3: The Emissary * Bastok M..."
"Guslam","1416","""Jeuno"", ""Upper Jeuno""","693","very long","Starts Quests: * Borghertz's Sorcerous Hands: (BLM AF Hands)' * Borghertz's Harmonious Hands: (BRD AF Hands) * Borghertz's Wild Hands: (BST AF Hands) * Borghertz's Dragon Hands: (DRG AF Hands) * Borghertz's Shadowy Hands..."
"Ramblix","5080","""Outland"", ""See Goblin Footprint""","692","very long; instruction wording","Notes: If you come across a Goblin Footprint in the field, you may hear voices. If so, you can trade any item to the Footprint to have Ramblix appear and replay cutscenes within the same zone for you. Any items traded (f..."
"Jersey","4749","""Lufaise Meadows"", ""Outland""","682","very long; instruction wording; wiki markup","Notes: Appears when Tavnazian Archipelago is under weekly conquest-control by one of the three nations. :*Sells to and buys items from characters allied with the nation that has the weekly conquest-control of this region..."
"Duplidoc","1323","""Lower Jeuno""","680","very long; instruction wording","Notes: This NPC replicates a Maze Tabula and all Maze Runes currently in that tabula for use by other players. There is a fee of 20 Moblin Marbles for anyone wishing to replicate a tabula and 500 gil for anyone wishing t..."
"Federation Dispenser","3383","""Battle"", ""Varies"", ""Windurst (S)""","677","very long","Notes: * Appears during an offensive campaign against Beastman territories. Up to 3 dispensers may be present at a time. *Distributes temporary items to players allied with Windurst in the battle. *Upon the depletion of ..."
"Robino-Mobino (Yuhtunga Jungle)","5083","""Outland"", ""Yuhtunga Jungle""","677","very long; instruction wording; wiki markup","Notes: Appears when Elshimo Lowlands is under weekly conquest-control by one of the three nations. :*Sells to and buys items from characters allied with the nation that has the weekly conquest-control of this region. :*A..."
"Mugha Dovajaiho","5066","""Outland"", ""Yhoator Jungle""","676","very long; instruction wording; wiki markup","Notes: Appears when Elshimo Uplands is under weekly conquest-control by one of the three nations. :*Sells to and buys items from characters allied with the nation that has the weekly conquest-control of this region. :*Al..."
"Republic Supplier","3286","""Bastok (S)"", ""Battle"", ""Varies""","674","very long","Notes: * Appears during an offensive campaign against Beastman territories. Up to 3 suppliers may be present at a time. *Distributes temporary items to players allied with Bastok in the battle. *Upon the depletion of the..."
"Mahien-Uhien","5583","""West Sarutabaruta""","673","very long; instruction wording; wiki markup","Notes: Appears when Sarutabaruta is under weekly conquest-control by one of the three nations. :*Sells to and buys items from characters allied with the nation that has the weekly conquest-control of this region. :*All i..."
"Gueriette","3577","""Beaucedine Glacier"", ""Outland""","671","very long; instruction wording; wiki markup","Notes: Appears when Fauregandi is under weekly conquest-control by one of the three nations. :*Sells to and buys items from characters allied with the nation that has the weekly conquest-control of this region. :*All ite..."
"Kuleo","4945","""North Gustaberg"", ""Outland""","670","very long; instruction wording; wiki markup","Notes: Appears when Gustaberg is under weekly conquest-control by one of the three nations. :*Sells to and buys items from characters allied with the nation that has the weekly conquest-control of this region. :*All item..."
"Lobho Ukipturi","3639","""Buburimu Peninsula"", ""Outland""","670","very long; instruction wording; wiki markup","Notes: Appears when Kolshushu is under weekly conquest-control by one of the three nations. :*Sells to and buys items from characters allied with the nation that has the weekly conquest-control of this region. :*All item..."
"Mionie","4633","""Jugner Forest"", ""Outland""","670","very long; instruction wording; wiki markup","Notes: Appears when Norvallen is under weekly conquest-control by one of the three nations. :*Sells to and buys items from characters allied with the nation that has the weekly conquest-control of this region. :*All item..."
"Medicine Axe","5062","""Outland"", ""Valkurm Dunes""","669","very long; instruction wording; wiki markup","Notes: Appears when Zulkheim is under weekly conquest-control by one of the three nations. :*Sells to and buys items from characters allied with the nation that has the weekly conquest-control of this region. :*All items..."
